year,quarter,quarter_start,quarter_end,parent1_name,parent1_code,parent2_name,parent2_code,category_name,category_code,months_in_quarter,quarterly_avg_click_ratio,quarterly_sum_click_ratio,quarterly_max_click_ratio,sales_group,sales_amount,판매매체별(1)
2025,Q1,2025-01-01,2025-03-31,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,3,95.37998333333331,286.13995,100.0,가구,1513071,계
2025,Q2,2025-04-01,2025-06-30,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,3,81.76407999999999,245.29224,87.94095,가구,1391469,계
2025,Q3,2025-07-01,2025-09-30,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,3,56.21668333333333,168.65005,72.43414,가구,1386242,계
2025,Q4,2025-10-01,2025-12-31,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,3,36.94931666666667,110.84795,38.67201,가구,1429464,계
2025,Q1,2025-01-01,2025-03-31,가구/인테리어,50000004,거실가구,50000101,소파,50001234,3,92.70691333333332,278.12074,100.0,가구,1513071,계
2025,Q2,2025-04-01,2025-06-30,가구/인테리어,50000004,거실가구,50000101,소파,50001234,3,66.41073666666666,199.23221,71.02045,가구,1391469,계
2025,Q3,2025-07-01,2025-09-30,가구/인테리어,50000004,거실가구,50000101,소파,50001234,3,55.51599333333333,166.54798,64.20552,가구,1386242,계
2025,Q4,2025-10-01,2025-12-31,가구/인테리어,50000004,거실가구,50000101,소파,50001234,3,40.318306666666665,120.95492,44.39588,가구,1429464,계
2025,Q1,2025-01-01,2025-03-31,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,3,91.20690666666668,273.62072,100.0,가구,1513071,계
2025,Q2,2025-04-01,2025-06-30,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,3,66.75464,200.26392,69.69187,가구,1391469,계
2025,Q3,2025-07-01,2025-09-30,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,3,64.81538333333333,194.44615,69.65248,가구,1386242,계
2025,Q4,2025-10-01,2025-12-31,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,3,56.335033333333335,169.0051,59.09105,가구,1429464,계
2025,Q1,2025-01-01,2025-03-31,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,3,92.86038333333332,278.58115,100.0,가구,1513071,계
2025,Q2,2025-04-01,2025-06-30,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,3,70.86225999999999,212.58678,85.95893,가구,1391469,계
2025,Q3,2025-07-01,2025-09-30,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,3,50.981456666666666,152.94437,63.98852,가구,1386242,계
2025,Q4,2025-10-01,2025-12-31,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,3,37.61004,112.83012,38.23245,가구,1429464,계
2025,Q1,2025-01-01,2025-03-31,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,3,98.05071666666667,294.15215,100.0,가구,1513071,계
2025,Q2,2025-04-01,2025-06-30,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,3,77.51678333333334,232.55035,85.33987,가구,1391469,계
2025,Q3,2025-07-01,2025-09-30,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,3,63.56662333333333,190.69987,75.50819,가구,1386242,계
2025,Q4,2025-10-01,2025-12-31,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,3,43.23392333333334,129.70177,48.06873,가구,1429464,계
