quarter,parent1_name,parent1_code,parent2_name,parent2_code,category_name,category_code,quarterly_avg_click_ratio,quarterly_max_click_ratio,sales_group,sales_amount
Q1,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,95.37998333333331,100.0,가구,1513071
Q2,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,81.76407999999999,87.94095,가구,1391469
Q3,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,56.21668333333333,72.43414,가구,1386242
Q4,가구/인테리어,50000004,거실가구,50000101,TV거실장,50001310,36.94931666666667,38.67201,가구,1429464
Q1,가구/인테리어,50000004,거실가구,50000101,소파,50001234,92.70691333333332,100.0,가구,1513071
Q2,가구/인테리어,50000004,거실가구,50000101,소파,50001234,66.41073666666666,71.02045,가구,1391469
Q3,가구/인테리어,50000004,거실가구,50000101,소파,50001234,55.51599333333333,64.20552,가구,1386242
Q4,가구/인테리어,50000004,거실가구,50000101,소파,50001234,40.318306666666665,44.39588,가구,1429464
Q1,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,91.20690666666668,100.0,가구,1513071
Q2,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,66.75464,69.69187,가구,1391469
Q3,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,64.81538333333333,69.65248,가구,1386242
Q4,가구/인테리어,50000004,거실가구,50000101,장식장,50001311,56.335033333333335,59.09105,가구,1429464
Q1,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,92.86038333333332,100.0,가구,1513071
Q2,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,70.86225999999999,85.95893,가구,1391469
Q3,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,50.981456666666666,63.98852,가구,1386242
Q4,가구/인테리어,50000004,거실가구,50000101,테이블,50001235,37.61004,38.23245,가구,1429464
Q1,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,98.05071666666667,100.0,가구,1513071
Q2,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,77.51678333333334,85.33987,가구,1391469
Q3,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,63.56662333333333,75.50819,가구,1386242
Q4,가구/인테리어,50000004,서재/사무용가구,50000105,의자,50001239,43.23392333333334,48.06873,가구,1429464
Q1,가구/인테리어,50000004,서재/사무용가구,50000105,책꽂이,50001347,98.16293,100.0,가구,1513071
Q2,가구/인테리어,50000004,서재/사무용가구,50000105,책꽂이,50001347,55.84002,68.03553,가구,1391469
Q3,가구/인테리어,50000004,서재/사무용가구,50000105,책꽂이,50001347,44.86362,52.49566,가구,1386242
Q4,가구/인테리어,50000004,서재/사무용가구,50000105,책꽂이,50001347,32.90546333333334,35.84738,가구,1429464
Q1,가구/인테리어,50000004,서재/사무용가구,50000105,책상,50001238,96.69009666666666,100.0,가구,1513071
Q2,가구/인테리어,50000004,서재/사무용가구,50000105,책상,50001238,65.38985,72.98736,가구,1391469
Q3,가구/인테리어,50000004,서재/사무용가구,50000105,책상,50001238,52.27100333333333,60.5888,가구,1386242
Q4,가구/인테리어,50000004,서재/사무용가구,50000105,책상,50001238,40.02996,42.49692,가구,1429464
Q1,가구/인테리어,50000004,서재/사무용가구,50000105,책장,50001346,95.32989666666668,100.0,가구,1513071
Q2,가구/인테리어,50000004,서재/사무용가구,50000105,책장,50001346,59.31226,66.47942,가구,1391469
Q3,가구/인테리어,50000004,서재/사무용가구,50000105,책장,50001346,48.08696333333334,55.57097,가구,1386242
Q4,가구/인테리어,50000004,서재/사무용가구,50000105,책장,50001346,38.64605666666667,40.36656,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,CD/DVD장,50001325,96.21704666666666,100.0,가구,1513071
