year,period,month,quarter,parent1_name,parent1_code,parent2_name,parent2_code,category_name,category_code,click_ratio,device,gender,ages
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,88.80788,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,92.64609,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,91.09953,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,81.01202,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,74.6626,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,75.95574,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,60.52126,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,57.93861,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,52.1885,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,51.07901,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,가구부속품,50001113,50.91007,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,85.5244,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,94.50228,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,89.12645,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,78.38227,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,72.87435,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,75.36786,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,52.55581,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,50.09226,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,43.63922,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,64.28731,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,데코스티커,50001066,57.37125,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,76.73322,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,96.97393,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,82.04815,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,87.88429,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,80.53122,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,92.29149,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,64.03743,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,60.51394,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,58.24421,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,54.1004,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,리모델링,50008168,56.30834,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,75.38281,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,79.08914,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,90.20303,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,82.59477,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,72.03431,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,69.17758,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,57.81597,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,58.04984,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,50.95818,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,47.73649,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,목재,50001060,45.25875,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,85.07541,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,93.11346,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,92.87501,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,83.74815,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,79.66724,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,80.88787,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,65.98204,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,64.93985,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,55.38486,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,60.93181,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,몰딩,50001064,63.26108,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,89.73883,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,92.99053,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,93.07039,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,83.08232,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,78.27175,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,75.30908,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,62.66904,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,64.66684,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,56.95664,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,52.3803,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,바닥재,50001114,61.07704,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,82.35332,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,91.93852,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,94.32397,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,86.79646,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,78.46367,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,83.24542,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,84.80823,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,81.30277,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,66.32371,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,65.6682,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,반제품,50001061,61.75468,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,96.35369,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,98.47835,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,100.0,all,all,all
2025,2025-04-01,4,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,88.38662,all,all,all
2025,2025-05-01,5,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,80.53957,all,all,all
2025,2025-06-01,6,Q2,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,72.29487,all,all,all
2025,2025-07-01,7,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,70.52132,all,all,all
2025,2025-08-01,8,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,64.69932,all,all,all
2025,2025-09-01,9,Q3,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,66.08582,all,all,all
2025,2025-10-01,10,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,61.43435,all,all,all
2025,2025-11-01,11,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,59.24518,all,all,all
2025,2025-12-01,12,Q4,가구/인테리어,50000004,DIY자재/용품,50000107,벽지,50001116,57.03273,all,all,all
2025,2025-01-01,1,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,손잡이,50001062,91.17965,all,all,all
2025,2025-02-01,2,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,손잡이,50001062,99.52281,all,all,all
2025,2025-03-01,3,Q1,가구/인테리어,50000004,DIY자재/용품,50000107,손잡이,50001062,100.0,all,all,all
