"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4 p)
"합계","소계","소계",합계,소계,계,575319,505011,421606,353963,426061,652181,662173,658493,611311,706222,674866,748830,851935,867560,777964,938868,1059888
"합계","소계","소계",합계,소계,면세점,363520,300602,211727,152997,111187,281235,271525,280391,239885,257535,225055,226952,304727,312459,195063,255261,327293
"합계","소계","소계",합계,소계,면세점 이외,211799,204409,209879,200966,314874,370946,390648,378102,371426,448687,449811,521878,547208,555101,582901,683607,732595
"합계","소계","소계",컴퓨터 및 주변기기,소계,계,2943,3288,2944,3195,11081,10686,17578,26167,15482,22713,23088,31186,20280,24615,25252,41156,22074
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,2943,3288,2944,3195,11081,10686,17578,26167,15482,22713,23088,31186,20280,24615,25252,41156,22074
"합계","소계","소계",가전·전자·통신기기,소계,계,48922,5594,6059,5258,5899,9726,6780,7899,6401,7704,3185,4506,6354,5041,7256,7753,6570
"합계","소계","소계",가전·전자·통신기기,소계,면세점,45424,2195,1316,781,334,1949,1569,2032,2673,2292,1927,2289,2915,2338,2172,1988,2557
"합계","소계","소계",가전·전자·통신기기,소계,면세점 이외,3498,3399,4743,4477,5565,7777,5211,5867,3732,5418,1258,2218,3444,2704,5083,5765,4013
"합계","소계","소계",가전·전자·통신기기,가전·전자,계,,,,,4680,6159,6139,7427,5585,7361,3031,4401,5958,4662,6965,7344,6377
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점,,,,,326,1804,1298,1842,2495,2182,1886,2265,2787,2239,2158,1983,2540
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,,,,,4354,4355,4841,5585,3090,5179,1145,2136,3171,2423,4807,5361,3837
"합계","소계","소계",가전·전자·통신기기,통신기기,계,,,,,1219,3567,641,472,817,348,154,105,399,380,291,409,193
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점,,,,,8,145,271,190,178,110,41,24,128,99,14,5,17
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,,,,,1211,3422,370,282,639,238,113,81,271,281,277,404,176
"합계","소계","소계",소프트웨어,소계,계,88,50,2755,268,430,48,55,238,73,30,46,271,80,38,93,341,754
"합계","소계","소계",소프트웨어,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",소프트웨어,소계,면세점 이외,88,50,2755,268,430,48,55,238,73,30,46,271,80,38,93,341,754
"합계","소계","소계",서 적,소계,계,6063,7311,6626,3082,5831,3813,4034,6015,3407,2680,2556,3513,6160,3001,3901,6408,3540
"합계","소계","소계",서 적,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",서 적,소계,면세점 이외,6063,7311,6626,3082,5831,3813,4034,6015,3407,2680,2556,3513,6160,3001,3901,6408,3540
"합계","소계","소계",사무·문구,소계,계,2056,3472,1484,3022,6947,5527,7031,7760,5786,7075,6346,7922,8949,7558,8628,10554,11098
"합계","소계","소계",사무·문구,소계,면세점,1,0,2,63,45,31,58,72,141,77,122,246,416,561,407,358,231
"합계","소계","소계",사무·문구,소계,면세점 이외,2055,3472,1482,2959,6902,5496,6973,7688,5645,6998,6224,7676,8533,6997,8221,10196,10867
"합계","소계","소계",음반·비디오·악기,소계,계,33575,50316,44571,39711,67617,114397,85380,92812,55016,84151,62639,80463,73987,91320,73530,72634,108311
"합계","소계","소계",음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",음반·비디오·악기,소계,면세점 이외,33575,50316,44571,39711,67617,114397,85380,92812,55016,84151,62639,80463,73987,91320,73530,72634,108311
"합계","소계","소계",의류 및 패션 관련 상품,소계,계,73950,64783,60268,76530,69767,79770,75044,93193,93876,95906,85680,93506,82591,86589,89651,105898,93814
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점,2497,2876,2279,3757,3268,13393,15526,17498,21762,20416,22787,23723,25442,29685,26294,31780,30103
